turn,noodling_cumulative,baseline_cumulative,noodling_per_turn,baseline_per_turn
559,1593150,4066725,2850,14250
560,1596000,4081000,2850,14275
561,1598850,4095300,2850,14300
562,1601700,4109625,2850,14325
563,1604550,4123975,2850,14350
564,1607400,4138350,2850,14375
565,1610250,4152750,2850,14400
566,1613100,4167175,2850,14425
567,1615950,4181625,2850,14450
568,1618800,4196100,2850,14475
569,1621650,4210600,2850,14500
570,1624500,4225125,2850,14525
571,1627350,4239675,2850,14550
572,1630200,4254250,2850,14575
573,1633050,4268850,2850,14600
574,1635900,4283475,2850,14625
575,1638750,4298125,2850,14650
576,1641600,4312800,2850,14675
577,1644450,4327500,2850,14700
578,1647300,4342225,2850,14725
579,1650150,4356975,2850,14750
580,1653000,4371750,2850,14775
581,1655850,4386550,2850,14800
582,1658700,4401375,2850,14825
583,1661550,4416225,2850,14850
584,1664400,4431100,2850,14875
585,1667250,4446000,2850,14900
586,1670100,4460925,2850,14925
587,1672950,4475875,2850,14950
588,1675800,4490850,2850,14975
589,1678650,4505850,2850,15000
590,1681500,4520875,2850,15025
591,1684350,4535925,2850,15050
592,1687200,4551000,2850,15075
593,1690050,4566100,2850,15100
594,1692900,4581225,2850,15125
595,1695750,4596375,2850,15150
596,1698600,4611550,2850,15175
597,1701450,4626750,2850,15200
598,1704300,4641975,2850,15225
599,1707150,4657225,2850,15250
600,1710000,4672500,2850,15275
601,1712850,4687800,2850,15300
602,1715700,4703125,2850,15325
603,1718550,4718475,2850,15350
604,1721400,4733850,2850,15375
605,1724250,4749250,2850,15400
606,1727100,4764675,2850,15425
607,1729950,4780125,2850,15450
608,1732800,4795600,2850,15475
609,1735650,4811100,2850,15500
610,1738500,4826625,2850,15525
611,1741350,4842175,2850,15550
612,1744200,4857750,2850,15575
613,1747050,4873350,2850,15600
614,1749900,4888975,2850,15625
615,1752750,4904625,2850,15650
616,1755600,4920300,2850,15675
617,1758450,4936000,2850,15700
618,1761300,4951725,2850,15725
619,1764150,4967475,2850,15750
620,1767000,4983250,2850,15775
621,1769850,4999050,2850,15800
622,1772700,5014875,2850,15825
623,1775550,5030725,2850,15850
624,1778400,5046600,2850,15875
625,1781250,5062500,2850,15900
626,1784100,5078425,2850,15925
627,1786950,5094375,2850,15950
628,1789800,5110350,2850,15975
629,1792650,5126350,2850,16000
630,1795500,5142375,2850,16025
631,1798350,5158425,2850,16050
632,1801200,5174500,2850,16075
633,1804050,5190600,2850,16100
634,1806900,5206725,2850,16125
635,1809750,5222875,2850,16150
636,1812600,5239050,2850,16175
637,1815450,5255250,2850,16200
638,1818300,5271475,2850,16225
639,1821150,5287725,2850,16250
640,1824000,5304000,2850,16275
641,1826850,5320300,2850,16300
642,1829700,5336625,2850,16325
643,1832550,5352975,2850,16350
644,1835400,5369350,2850,16375
645,1838250,5385750,2850,16400
646,1841100,5402175,2850,16425
647,1843950,5418625,2850,16450
648,1846800,5435100,2850,16475
649,1849650,5451600,2850,16500
650,1852500,5468125,2850,16525
651,1855350,5484675,2850,16550
652,1858200,5501250,2850,16575
653,1861050,5517850,2850,16600
654,1863900,5534475,2850,16625
655,1866750,5551125,2850,16650
656,1869600,5567800,2850,16675
657,1872450,5584500,2850,16700
658,1875300,5601225,2850,16725
659,1878150,5617975,2850,16750
660,1881000,5634750,2850,16775
661,1883850,5651550,2850,16800
662,1886700,5668375,2850,16825
663,1889550,5685225,2850,16850
664,1892400,5702100,2850,16875
665,1895250,5719000,2850,16900
666,1898100,5735925,2850,16925
667,1900950,5752875,2850,16950
668,1903800,5769850,2850,16975
669,1906650,5786850,2850,17000
670,1909500,5803875,2850,17025
671,1912350,5820925,2850,17050
672,1915200,5838000,2850,17075
673,1918050,5855100,2850,17100
674,1920900,5872225,2850,17125
675,1923750,5889375,2850,17150
676,1926600,5906550,2850,17175
677,1929450,5923750,2850,17200
678,1932300,5940975,2850,17225
679,1935150,5958225,2850,17250
680,1938000,5975500,2850,17275
681,1940850,5992800,2850,17300
682,1943700,6010125,2850,17325
683,1946550,6027475,2850,17350
684,1949400,6044850,2850,17375
685,1952250,6062250,2850,17400
686,1955100,6079675,2850,17425
687,1957950,6097125,2850,17450
688,1960800,6114600,2850,17475
689,1963650,6132100,2850,17500
690,1966500,6149625,2850,17525
691,1969350,6167175,2850,17550
692,1972200,6184750,2850,17575
693,1975050,6202350,2850,17600
694,1977900,6219975,2850,17625
695,1980750,6237625,2850,17650
696,1983600,6255300,2850,17675
697,1986450,6273000,2850,17700
698,1989300,6290725,2850,17725
699,1992150,6308475,2850,17750
700,1995000,6326250,2850,17775
701,1997850,6344050,2850,17800
702,2000700,6361875,2850,17825
703,2003550,6379725,2850,17850
704,2006400,6397600,2850,17875
705,2009250,6415500,2850,17900
706,2012100,6433425,2850,17925
707,2014950,6451375,2850,17950
708,2017800,6469350,2850,17975
709,2020650,6487350,2850,18000
710,2023500,6505375,2850,18025
711,2026350,6523425,2850,18050
712,2029200,6541500,2850,18075
713,2032050,6559600,2850,18100
714,2034900,6577725,2850,18125
715,2037750,6595875,2850,18150
716,2040600,6614050,2850,18175
717,2043450,6632250,2850,18200
718,2046300,6650475,2850,18225
719,2049150,6668725,2850,18250
720,2052000,6687000,2850,18275
721,2054850,6705300,2850,18300
722,2057700,6723625,2850,18325
723,2060550,6741975,2850,18350
724,2063400,6760350,2850,18375
725,2066250,6778750,2850,18400
726,2069100,6797175,2850,18425
727,2071950,6815625,2850,18450
728,2074800,6834100,2850,18475
729,2077650,6852600,2850,18500
730,2080500,6871125,2850,18525
731,2083350,6889675,2850,18550
732,2086200,6908250,2850,18575
733,2089050,6926850,2850,18600
734,2091900,6945475,2850,18625
735,2094750,6964125,2850,18650
736,2097600,6982800,2850,18675
737,2100450,7001500,2850,18700
738,2103300,7020225,2850,18725
739,2106150,7038975,2850,18750
740,2109000,7057750,2850,18775
741,2111850,7076550,2850,18800
742,2114700,7095375,2850,18825
743,2117550,7114225,2850,18850
744,2120400,7133100,2850,18875
745,2123250,7152000,2850,18900
746,2126100,7170925,2850,18925
747,2128950,7189875,2850,18950
748,2131800,7208850,2850,18975
749,2134650,7227850,2850,19000
750,2137500,7246875,2850,19025
751,2140350,7265925,2850,19050
752,2143200,7285000,2850,19075
753,2146050,7304100,2850,19100
754,2148900,7323225,2850,19125
755,2151750,7342375,2850,19150
756,2154600,7361550,2850,19175
757,2157450,7380750,2850,19200
758,2160300,7399975,2850,19225
759,2163150,7419225,2850,19250
760,2166000,7438500,2850,19275
761,2168850,7457800,2850,19300
762,2171700,7477125,2850,19325
763,2174550,7496475,2850,19350
764,2177400,7515850,2850,19375
765,2180250,7535250,2850,19400
766,2183100,7554675,2850,19425
767,2185950,7574125,2850,19450
768,2188800,7593600,2850,19475
769,2191650,7613100,2850,19500
770,2194500,7632625,2850,19525
771,2197350,7652175,2850,19550
772,2200200,7671750,2850,19575
773,2203050,7691350,2850,19600
774,2205900,7710975,2850,19625
775,2208750,7730625,2850,19650
776,2211600,7750300,2850,19675
777,2214450,7770000,2850,19700
778,2217300,7789725,2850,19725
779,2220150,7809475,2850,19750
780,2223000,7829250,2850,19775
781,2225850,7849050,2850,19800
782,2228700,7868875,2850,19825
783,2231550,7888725,2850,19850
784,2234400,7908600,2850,19875
